category,title,quantity,brand,product_id,listing_id,highlights,availability,selling_price,original_price,currency,avg_rating,rating_count,review_count,1_stars_count,2_stars_count,3_stars_count,4_stars_count,5_stars_count
Milk Drink Mixes,PRO360 Kids Nutritional Protein Drink Supplement Powder for Growing Children (Age 3 - 12 Years) – Chocolate Flavour,250 g,PRO360,MDMGFG52A9N8MKU7,LSTMDMGFG52A9N8MKU76GMH7D,DHA & Calcium Real Chocolate Flavour Pre & Pro Biotics Bovine Colostrum,IN_STOCK,305,395,INR,4,22,1,0,2,5,6,9
Milk Drink Mixes,PATANJALI Herbal Power Vita Refill 500gm (Pack of 2),2 x 500 g,PATANJALI,MDMGAC6PQF5BCXDG,LSTMDMGAC6PQF5BCXDGFSZ1FL,,IN_STOCK,410,460,INR,3.7,3,1,1,0,0,0,2
Milk Drink Mixes,PRO360 Slim Weight Management Meal Replacement Protein Dietary Supplement For Men & Women –( Strawberry Flavour ),500 g,PRO360,MDMGFGC6U7S5WM2T,LSTMDMGFGC6U7S5WM2TMPENUV,Garcinia Cambogia Tri-protein Formula 100% Vegetarian Fortified with CLA,IN_STOCK,575,725,INR,4.4,48,7,3,3,0,8,34
Milk Drink Mixes,Dharmasut Chocolate Drinking Powder | Dark Chocolate | Instant Drink Mix 500gm,5 x 100 g,Dharmasut,MDMG89MKHAWDHTHP,LSTMDMG89MKHAWDHTHPKLIDUO,Instant Mix powder,IN_STOCK,349,1000,INR,0,0,0,0,0,0,0,0
Milk Drink Mixes,TOTS AND MOMS by TOTS AND MOMS Tots & Moms Choco Dates with Jaggery Drink Mix,200 g,TOTS AND MOMS,MDMGFNS2ZCFFJWMK,LSTMDMGFNS2ZCFFJWMKGTMGLD,,IN_STOCK,200,250,INR,4.4,14,1,0,0,2,4,8
Milk Drink Mixes,Basic Ayurveda Sundri Kalp,450 g,Basic Ayurveda,MDMGB7HFFY49BFMK,LSTMDMGB7HFFY49BFMKJ21HN4,,IN_STOCK,178,240,INR,0,0,0,0,0,0,0,0
Milk Drink Mixes,Pediasure Premium chocolate 400 gram pack of 2,2 x 400 g,Pediasure,MDMG9R4347SWAGTG,LSTMDMG9R4347SWAGTGGORNKY,Pediasure,OUT_OF_STOCK,1105,1250,INR,4,10,0,1,1,1,1,6
Milk Drink Mixes,HORLICKS Junior chocolate flavour 500 gram pack of 2,2 x 0.5 kg,HORLICKS,MDMGA263CDM4BKVM,LSTMDMGA263CDM4BKVMN1DJOJ,Horlicks,IN_STOCK,600,675,INR,3.8,32,2,6,2,3,1,20
Milk Drink Mixes,Mr.Kool Choco O-reo Flavor Milkshake Hot Milk Drink Mix Powder,100 g,Mr.Kool,MDMG7MHBWS8AQNHA,LSTMDMG7MHBWS8AQNHA6TIDBV,,IN_STOCK,135,220,INR,0,0,0,0,0,0,0,0
Milk Drink Mixes,HORLICKS by BOS01 Energy & Nutrition Drink,500 g,HORLICKS,MDMG8RQURMKTHGCJ,LSTMDMG8RQURMKTHGCJOI7SPE,,IN_STOCK,220,280,INR,4.1,7,0,0,0,2,2,3
Milk Drink Mixes,RAJAM Badam Drink Mix 200G Box,200 g,RAJAM,MDMFUDN889NJZH5Z,LSTMDMFUDN889NJZH5ZRRN2EM,,IN_STOCK,98,140,INR,4,269,40,21,12,46,46,144
Milk Drink Mixes,Magic Leaf Super Zero Chocolate Milk Mix Powder - 220 gm,220 g,Magic Leaf,MDMGCHY4GEMGYTAZ,LSTMDMGCHY4GEMGYTAZI98HY0,,IN_STOCK,549,665,INR,0,0,0,0,0,0,0,0
Milk Drink Mixes,Vigvit Proteins | Soya Protein powder | Sugar free|,200 g,Vigvit,MDMG83D2WYCJT8GC,LSTMDMG83D2WYCJT8GCFTH7E8,,OUT_OF_STOCK,449,725,INR,0,0,0,0,0,0,0,0
Milk Drink Mixes,"Ovaltine MaltBased Beverga Powder Chocolate Flavour 200Gm , Box ( Pack Of 1 )",200 g,Ovaltine,MDMG5VFYE5BHBYRG,LSTMDMG5VFYE5BHBYRGHZYFC2,,IN_STOCK,104,299,INR,4.8,5,0,0,0,0,1,4
Milk Drink Mixes,Boost Great new Taste 3X More Stamina 500 gram,500 g,Boost,MDMG6MUW4VVTKX3Y,LSTMDMG6MUW4VVTKX3YOX7UWP,,IN_STOCK,230,285,INR,4.1,68,2,9,2,2,16,39
Milk Drink Mixes,TOTS AND MOMS by TOTS AND MOMS Tots & Moms Nutspro with Jaggery Drink Mix,200 g,TOTS AND MOMS,MDMGFNSMAHAVGYPY,LSTMDMGFNSMAHAVGYPYT48BM4,,IN_STOCK,200,250,INR,4.2,5,0,1,0,0,0,4
Milk Drink Mixes,Nestle Milo Milo Activ Go Tin (Imported) 400g,400 g,Nestle Milo,MDMFUYGW6BKY3WFU,LSTMDMFUYGW6BKY3WFUAAVUML,,IN_STOCK,549,749,INR,4.5,37,4,2,1,2,4,28
Milk Drink Mixes,Bambino Instant Badam Drink Mix 500g,500 g,Bambino,MDMG8KY2Q9KBDME4,LSTMDMG8KY2Q9KBDME4IUMP36,,IN_STOCK,175,250,INR,4.6,13,2,0,1,0,2,10
Milk Drink Mixes,"spicy wind Natural Kesariya Thandai Powder for Milk (Almonds,Saffron,Pistachios) 450 GM",450 g,spicy wind,MDMGCEU3BHGZSHP5,LSTMDMGCEU3BHGZSHP5FD1OHU,,IN_STOCK,249,499,INR,0,0,0,0,0,0,0,0
Milk Drink Mixes,TruNativ FROAT Summer Splash,3 x 40 g,TruNativ,MDMFPTC74RHUZNZR,LSTMDMFPTC74RHUZNZRSMGTGQ,,IN_STOCK,249,399,INR,0,0,0,0,0,0,0,0
Milk Drink Mixes,TOTS AND MOMS by TOTS AND MOMS Tots & Moms Almond & Dates with Jaggery Drink Mx,200 g,TOTS AND MOMS,MDMGFNSFCBTHQRFB,LSTMDMGFNSFCBTHQRFBXTRQNO,,IN_STOCK,200,250,INR,4,37,4,3,2,2,14,16
Milk Drink Mixes,Ovaltine Chocolate Malt Beverage Mix,400 g,Ovaltine,MDMFPJ8E8V2GHZCD,LSTMDMFPJ8E8V2GHZCD3RAFZO,,IN_STOCK,270,320,INR,4.4,45,3,3,1,1,9,31
Milk Drink Mixes,Horlicks Protein Plus Chocolate Flavour,400 g,Horlicks Protein Plus,MDMFFCFFJB3Q5DFM,LSTMDMFFCFFJB3Q5DFMKSZRJO,,OUT_OF_STOCK,550,550,INR,4.4,110,14,4,3,9,25,69
Milk Drink Mixes,"WeiKFiELD Drinking Chocolate, 200 gm",200 g,WeiKFiELD,MDMFUYSMCJXWHXWM,LSTMDMFUYSMCJXWHXWMI7SAA5,,OUT_OF_STOCK,128,180,INR,3.2,5,0,1,1,0,2,1
Milk Drink Mixes,Ovaltine Malt Based BEVERAGE MILK& CHOCOLATE FLavour (Imported) 400Gm PK 2,2 x 400 g,Ovaltine,MDMG7MGSRYYJGV9F,LSTMDMG7MGSRYYJGV9FIPBWKQ,,IN_STOCK,559,609,INR,0,0,0,0,0,0,0,0
Milk Drink Mixes,"Nestle Nesquik ( Hot Chocolate), 500 g,",500 g,Nestle,MDMGFF6NP4PPJTFM,LSTMDMGFF6NP4PPJTFMTFLQPV,,IN_STOCK,199,250,INR,3.5,6,0,2,0,0,1,3
Milk Drink Mixes,HORLICKS by N1 Junior .Choco 500 gm,500 g,HORLICKS,MDMG43YSUHCWYVZC,LSTMDMG43YSUHCWYVZC8CUR9A,,IN_STOCK,240,295,INR,4,56,3,6,1,9,13,27
Milk Drink Mixes,RAJAM ista Badam Drink Mix 200G Box,2 x 200 g,RAJAM,MDMFUHE8PXAC3WHD,LSTMDMFUHE8PXAC3WHDDAXE9C,,IN_STOCK,108,155,INR,3.9,844,99,72,66,116,179,411
Milk Drink Mixes,PRO360 Respiro Nutritional Protein Supplement for Lungs Care Respiratory Wellness - Strawberry Flavour,250 g,PRO360,MDMFJHKBVVEES8GG,LSTMDMFJHKBVVEES8GGHDPY0U,Pulmocare Nutrition N-Acetyl Cystine Bovine Colostrum 100% Vegetarian,IN_STOCK,275,395,INR,4,13,1,0,0,5,3,5
Milk Drink Mixes,Milk'O'Mix Juice Mix Powder Kesar Pista Kulfi and Thandai - (150gx2),2 x 150 g,Milk'O'Mix,MDMFWY98JYHYWBSH,LSTMDMFWY98JYHYWBSHT1BEOD,,IN_STOCK,123,180,INR,4.8,6,0,0,0,0,1,5
Milk Drink Mixes,PROTISCOOP PROTEIN POWDER DHA CHOCOLATE FLAVOUR 200GMX3PCS,3 x 200 g,PROTISCOOP PROTEIN POWDER,MDMGBD4CQ7THVA2Y,LSTMDMGBD4CQ7THVA2YWV9WLW,,IN_STOCK,299,1245,INR,0,0,0,0,0,0,0,0
Milk Drink Mixes,"yamkay Rose Milk Mix Powder, 250 gm",250 g,yamkay,MDMGBVZ4TGYUGDXC,LSTMDMGBVZ4TGYUGDXCQV7KL9,,IN_STOCK,419,699,INR,0,0,0,0,0,0,0,0
Milk Drink Mixes,Anveshan Turmeric Latte | Ashwagandha Mix | Immunity Booster | Haldi Doodh Mix | 100G,100 g,Anveshan,MDMGBF69GSG8KXTZ,LSTMDMGBF69GSG8KXTZYRGNWA,Amazing Aroma Natural,IN_STOCK,349,699,INR,0,0,0,0,0,0,0,0
Milk Drink Mixes,"Ovaltine MaltBased Beverga Powder Chocolate Flavour 200Gm , Box ( Pack Of 2 )",2 x 200 g,Ovaltine,MDMG7FXUHG96JYCF,LSTMDMG7FXUHG96JYCFOUPPK2,,IN_STOCK,225,399,INR,4.5,24,2,0,0,2,7,15
Milk Drink Mixes,"HORLICKS Mother's Plus Vanilla Flavour, 200 gm",200 g,HORLICKS,MDMGYZDCZEYGH8PM,LSTMDMGYZDCZEYGH8PMJFGCUD,,IN_STOCK,225,300,INR,4.1,96,5,9,5,10,13,59
Milk Drink Mixes,Provee Choco Malt,500 g,Provee,MDMG6Z5MUP9HR8DZ,LSTMDMG6Z5MUP9HR8DZPVHQGW,,IN_STOCK,185,218,INR,4,11,1,2,0,1,1,7
Milk Drink Mixes,Milk'O'Mix Mango and Kesar Pista Kulfi Flavored Milk Powder,2 x 150 g,Milk'O'Mix,MDMFHHRSH9WTHQAZ,LSTMDMFHHRSH9WTHQAZ7AA2PC,,IN_STOCK,123,350,INR,3.9,46,5,4,5,7,5,25
Milk Drink Mixes,"Cadbury Drinking Chocolate Powder, 250g (Pack of 2)",2 x 250 g,Cadbury,MDMFR8HK27RXFPBY,LSTMDMFR8HK27RXFPBYN0BCN7,,IN_STOCK,540,1100,INR,4,12,1,1,1,1,3,6
Milk Drink Mixes,"FLISTAA Blushing Berry & Summer Paradise Instant Strawberry & Mango Milk Shake Pwder Mix, Box of 6 Sachets with 2 Shaker",2 x 240 g,FLISTAA,MDMG5GZJPGEBFW7J,LSTMDMG5GZJPGEBFW7J1ILMHD,,IN_STOCK,370,550,INR,4.6,15,10,1,0,0,2,12
Milk Drink Mixes,unloq Cocoa Milkshake + Strawberry Milkshake Instant Mix Combo Pack | Just add Milk | No Preservatives | No Artificial Flavours | No Artificial Colour | Drink Anytime – 45 g + 55 g (Serves – 4 + 4= 8 Glasses),2 x 50 g,unloq,MDMG25QM9GE5RKYC,LSTMDMG25QM9GE5RKYCVUCJEE,4 Serving (55 gm),IN_STOCK,105,158,INR,3.7,25,5,2,5,3,4,11
Milk Drink Mixes,PRO360 CLASSIC PROTEIN DRINK SUPPLEMENT POWDER INSTANT BEVERAGE MIX KESAR BADAM FLAVOR 200G,200 g,PRO360,MDMFVGJCGZZBSYMM,LSTMDMFVGJCGZZBSYMM08ZW2U,Triple protein formula Vitamins & Minerals 100% Vegetarian Calcium & DHA Cholesterol free Gluten free,IN_STOCK,207,295,INR,3.8,57,6,6,5,9,12,25
Milk Drink Mixes,"PRO360 Hair Grow Nutritional Protein Biotin Rich Dietary Supplement for Healthier, Thicker and Shinier Hair - Chocolate Flavour",250 g,PRO360,MDMGFGC6GWWPZZUG,LSTMDMGFGC6GWWPZZUGF1ICFR,Green Apple Extract Biotin for Hair Growth,IN_STOCK,425,525,INR,4,15,1,0,2,4,1,8
Milk Drink Mixes,Basic Ayurveda Badh Ka Dodh (8 Gram),8 g,Basic Ayurveda,MDMG9HKSAM3RF3Y3,LSTMDMG9HKSAM3RF3Y3GMB0VT,,IN_STOCK,27,40,INR,0,0,0,0,0,0,0,0
Milk Drink Mixes,Mr.Kool Vanilla Flavor Milkshake Powder |Vanilla Milk Drink Mix 100g,100 g,Mr.Kool,MDMGFY57YWVRESYE,LSTMDMGFY57YWVRESYEAUZ3G6,,IN_STOCK,97,140,INR,0,0,0,0,0,0,0,0
Milk Drink Mixes,Protinex Tasty Chocolate,750 g,Protinex,MDMFUTBFXPFQEZJZ,LSTMDMFUTBFXPFQEZJZ6NVPTY,,IN_STOCK,860,980,INR,4.8,37,3,0,0,2,2,33
Milk Drink Mixes,Ovaltine Malt Beverage Mix 400g,400 g,Ovaltine,MDMFTPGSWRHNCNVW,LSTMDMFTPGSWRHNCNVWWZYHJP,,IN_STOCK,249,499,INR,4.4,119,15,2,3,12,27,75
Milk Drink Mixes,Rasna Native Haat Honey Vita Chocolate Flavour,500 g,Rasna,MDMFBYF6TPQ6U7JF,LSTMDMFBYF6TPQ6U7JFRH1TR2,,IN_STOCK,88,225,INR,3.7,17,2,3,0,1,8,5
Milk Drink Mixes,HORLICKS Chocolate Malt Drink (Imported from UK),500 g,HORLICKS,MDMFZ9JSTFQBRZTA,LSTMDMFZ9JSTFQBRZTATBMWR9,,IN_STOCK,699,999,INR,4.3,7,3,0,1,0,2,4
Milk Drink Mixes,Strawfit Milk Flavouring Straw With Colostrum Strawberry Bliss | Acts As Immunity Booster | Set of 2 | 7 Straws Weekly Pack,2 x 65 g,Strawfit,MDMG6B3GZQXXHJ8D,LSTMDMG6B3GZQXXHJ8DUCSTLD,,IN_STOCK,138,198,INR,0,0,0,0,0,0,0,0
Milk Drink Mixes,Dharmasut Tasty Drinking Chocolate Powder with Sugar 300gm,3 x 100 g,Dharmasut,MDMG89MCMUZVHYFG,LSTMDMG89MCMUZVHYFGGEC4TL,Instant Mix powder,IN_STOCK,249,600,INR,0,0,0,0,0,0,0,0
Milk Drink Mixes,Rasna Native Haat Honey Vita Chocolate Flavour,450 g,Rasna,MDMFBYF6TZWKG8ER,LSTMDMFBYF6TZWKG8ERF4QINP,,IN_STOCK,99,250,INR,3.7,17,2,3,0,1,8,5
Milk Drink Mixes,Nestle Nesquik Chocolate Flavour - 300g,300 g,Nestle,MDMGA3DVV6CQEAFM,LSTMDMGA3DVV6CQEAFMGK2U1B,,IN_STOCK,315,699,INR,0,0,0,0,0,0,0,0
Milk Drink Mixes,Herbalife Nutrition DinoShake Strawberry,200 g,Herbalife Nutrition,MDMG2TYQR5DAAEGN,LSTMDMG2TYQR5DAAEGNB8QOA0,,IN_STOCK,663,1021,INR,4.7,3,0,0,0,0,1,2
Milk Drink Mixes,"Manna Rice Rich & Ragi Rich Combo Pack| Fortified Sprouted Ragi, Green Gram, and Bengal Gram Cereal for Babies/Infants (6+ Months) | 100% Natural",2 x 200 g,Manna,MDMF6YWVA5M4YCZC,LSTMDMF6YWVA5M4YCZCFL8IRG,,IN_STOCK,228,278,INR,4,84,6,8,2,12,22,40
Milk Drink Mixes,Cadbury Oreo Milkshake Mix 200g X 2 + Bournvita Lil Champ 200 g X 3 Jar (Pack of 5),5 x 200 g,Cadbury,MDMG2FFYGWXZJQJN,LSTMDMG2FFYGWXZJQJNGB41WM,,IN_STOCK,734,785,INR,3.9,11,2,1,0,2,4,4
Milk Drink Mixes,The Great Banyan by The Great Banyan Multigrain Energy Malt - Homemade Health Drink Mix for Kids & Adults,300 g,The Great Banyan,MDMFYH7RKDHMATVV,LSTMDMFYH7RKDHMATVVDF5N9O,Nutritious Grains No White Sugar No Milk Solids No Preservatives No Artificial Flavor No Color Added,IN_STOCK,220,299,INR,4.5,26,2,0,0,1,10,15
Milk Drink Mixes,La Casa Drinking Chocolate Mix Hot Chocolate Mix Low Fat Extra Creamy 100% Natural 250 gms,250 g,La Casa,MDMFSZXYY6JR9RMN,LSTMDMFSZXYY6JR9RMN722NB4,,IN_STOCK,248,350,INR,4,7,0,0,0,3,1,3
Milk Drink Mixes,Milk'O'Mix Juice Mix Powder Kesar Pista Kulfi and Stawberry - (150gx2),2 x 150 g,Milk'O'Mix,MDMFWZFHHPQH2H8F,LSTMDMFWZFHHPQH2H8FF8ZISQ,,IN_STOCK,130,180,INR,4.3,3,0,0,0,0,2,1
Milk Drink Mixes,"FLISTAA Blushing Berry Instant Strawberry Milk Shake Powder Mix, Box of 6 Sachets with 2 Shaker",2 x 240 g,FLISTAA,MDMG5GZKRFCWQBEB,LSTMDMG5GZKRFCWQBEBV0BL2O,,IN_STOCK,350,550,INR,4.5,4,1,0,0,0,2,2
Milk Drink Mixes,JAWAI Rajwadi Keshari Milk Masala,100 g,JAWAI,MDMFNVEVHZZSSWGZ,LSTMDMFNVEVHZZSSWGZVVLWWR,,IN_STOCK,349,495,INR,4.1,24,3,2,1,4,3,14
Milk Drink Mixes,Strawfit Milk Flavouring Straw With Colostrum Bon Vanilla | Acts As Immunity Booster | Set of 1 | 7 Straws Weekly Pack,65 g,Strawfit,MDMG6B3MBBFRG7TZ,LSTMDMG6B3MBBFRG7TZIRB6DS,,IN_STOCK,65,99,INR,0,0,0,0,0,0,0,0
Milk Drink Mixes,Milk'O'Mix 2 Piece Combo(1 Rabdi Falooda 200g + 1 Kesar Pista Kulfi Falooda 200g),2 x 325 g,Milk'O'Mix,MDMG3ZTUPTKHF8G6,LSTMDMG3ZTUPTKHF8G66OBH0R,,IN_STOCK,135,195,INR,3.8,6,1,1,0,1,1,3
Milk Drink Mixes,RAJAM Ragi Malt Drink Mix 200G Box,2 x 100 g,RAJAM,MDMFUNRJAEVAVPNH,LSTMDMFUNRJAEVAVPNHJOMZJL,,IN_STOCK,77,110,INR,3.9,49,7,6,1,8,12,22
Milk Drink Mixes,Dharmasut Instant Drinking Chocolate Powder | Cocoa Powder Mix,100 g,Dharmasut,MDMG87C3BYCGSEH7,LSTMDMG87C3BYCGSEH70HUQ8U,Instant Mix powder,IN_STOCK,83,200,INR,3.6,7,1,1,1,1,1,3
Milk Drink Mixes,The Great Banyan Multigrain Choco Malt - Homemade Health Drink Mix for Kids & Adults,300 g,The Great Banyan,MDMFYH7ZTBHYG5EB,LSTMDMFYH7ZTBHYG5EBD9J5ER,,IN_STOCK,220,299,INR,4.2,119,9,5,6,11,35,62
Milk Drink Mixes,Mr.Kool Mr.Kool Badam Pista Flavor Milkshake Powder |Badam Pista Milk Drink Mix 100g | Premium Nut-tella Milkshake Powder 100g | 200g Combo |,2 x 100 g,Mr.Kool,MDMG94XQ5UF9Y3HF,LSTMDMG94XQ5UF9Y3HFQC59JS,,IN_STOCK,190,380,INR,0,0,0,0,0,0,0,0
Milk Drink Mixes,Cadbury DRINKING CHOCOLATE IMPORTED MADE IN UK,500 g,Cadbury,MDMG5SZQ5HBYMBFY,LSTMDMG5SZQ5HBYMBFYRUMEKC,,IN_STOCK,340,699,INR,3.9,7,1,1,1,0,1,4
Milk Drink Mixes,Basic Ayurveda Grass Meal (Wheat Grass) Juice (With Honey),500 g,Basic Ayurveda,MDMGB7G4AECTFXZU,LSTMDMGB7G4AECTFXZUQS3JHL,,IN_STOCK,178,240,INR,0,0,0,0,0,0,0,0
Milk Drink Mixes,Dharmasut Hot Chocolate Drink Mix Powder | Instant Drink Mix 2,2 x 100 g,Dharmasut,MDMG89KVNEGGWZKJ,LSTMDMG89KVNEGGWZKJPBAI4W,Instant Mix powder,IN_STOCK,159,400,INR,0,0,0,0,0,0,0,0
Milk Drink Mixes,By Grandma Women's Magic Mix - Health Drink,280 g,By Grandma,MDMFRGHBF46FAMUK,LSTMDMFRGHBF46FAMUKQEG8J3,For All Women Quantity 280 G Shelf Life - 6 months 16 Servings Sprouted grains No artificial flavours 100% Natural No preservatives,IN_STOCK,269,319,INR,0,0,0,0,0,0,0,0
Milk Drink Mixes,Dharmasut Special Kesar Milk Masala Powder 250g,250 g,Dharmasut,MDMG73NETG5MEPP2,LSTMDMG73NETG5MEPP2LGOWE8,Rich in ingredients,IN_STOCK,759,1099,INR,0,0,0,0,0,0,0,0
